School Year,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Borough Name,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
2014-15,Q415,26Q415,Benjamin N. Cardozo High School,Q415,57-00 223RD STREET,Q,26,3505,,1,Benjamin N. Cardozo High School,1,9,11,7,1,12C,3001-4000,1.57,7.21,14.07,5.14,2.57,QUEENS   ,11364,40.752333,-73.75599,11,23,138501,4161735,4075290001,Oakland Gardens                                                            
2014-15,Q420,29Q248,Queens Preparatory Academy,Q248,143-10 SPRINGFIELD BOULEVARD,Q,29,476,143-10 SPRINGFIELD BOULEVARD CONSOLIDATED LOCATION,4,Queens Preparatory Academy |  Excelsior Preparatory High School |  George Washington Carver High School for the Scien |  Preparatory Academy for Writers: A College Board S |  143-10 SPRINGFIELD BOULEVARD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,QUEENS   ,11413,40.668235,-73.756839,12,31,330,4280845,4130570056,Springfield Gardens North                                                  
2014-15,Q420,29Q265,Excelsior Preparatory High School,Q265,143-10 SPRINGFIELD BOULEVARD,Q,29,482,143-10 SPRINGFIELD BOULEVARD CONSOLIDATED LOCATION,4,Queens Preparatory Academy |  Excelsior Preparatory High School |  George Washington Carver High School for the Scien |  Preparatory Academy for Writers: A College Board S |  143-10 SPRINGFIELD BOULEVARD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,QUEENS   ,11413,40.668235,-73.756839,12,31,330,4280845,4130570056,Springfield Gardens North                                                  
2014-15,Q420,29Q272,George Washington Carver High School for the Scien,Q272,143-10 SPRINGFIELD BOULEVARD,Q,29,509,143-10 SPRINGFIELD BOULEVARD CONSOLIDATED LOCATION,4,Queens Preparatory Academy |  Excelsior Preparatory High School |  George Washington Carver High School for the Scien |  Preparatory Academy for Writers: A College Board S |  143-10 SPRINGFIELD BOULEVARD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,QUEENS   ,11413,40.668235,-73.756839,12,31,330,4280845,4130570056,Springfield Gardens North                                                  
2014-15,Q420,29Q283,Preparatory Academy for Writers: A College Board S,Q283,143-10 SPRINGFIELD BOULEVARD,Q,29,552,143-10 SPRINGFIELD BOULEVARD CONSOLIDATED LOCATION,4,Queens Preparatory Academy |  Excelsior Preparatory High School |  George Washington Carver High School for the Scien |  Preparatory Academy for Writers: A College Board S |  143-10 SPRINGFIELD BOULEVARD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,QUEENS   ,11413,40.668235,-73.756839,12,31,330,4280845,4130570056,Springfield Gardens North                                                  
2014-15,Q420,,143-10 SPRINGFIELD BOULEVARD CONSOLIDATED LOCATION,,143-10 SPRINGFIELD BOULEVARD,Q,29,2019,143-10 SPRINGFIELD BOULEVARD CONSOLIDATED LOCATION,4,Queens Preparatory Academy |  Excelsior Preparatory High School |  George Washington Carver High School for the Scien |  Preparatory Academy for Writers: A College Board S |  143-10 SPRINGFIELD BOULEVARD CONSOLIDATED LOCATION,3,5,8,6,2,10C,2001-2500,1.96,7.74,16.07,5.48,3.44,QUEENS   ,11413,40.668235,-73.756839,12,31,330,4280845,4130570056,Springfield Gardens North                                                  
2014-15,Q425,25Q425,John Bowne High School,Q425,63-25 MAIN STREET,Q,25,3667,,1,John Bowne High School,3,14,33,9,6,12C,3001-4000,1.57,7.21,14.07,5.14,2.57,QUEENS   ,11367,40.738139,-73.824944,8,24,809,4439900,4065070001,Kew Gardens Hills                                                          
2014-15,Q430,26Q430,Francis Lewis High School,Q430,58-20 UTOPIA PARKWAY,Q,26,4172,,1,Francis Lewis High School,3,13,4,11,3,13C,4000+,2.6,10.4,14.8,9.2,2.4,QUEENS   ,11365,40.740724,-73.79283,11,20,1417,4148763,4068820001,Auburndale                                                                 
2014-15,Q435,26Q315,Business Technology Early College High School,Q315,230-17 HILLSIDE AVENUE,Q,26,112,230-17 HILLSIDE AVENUE CONSOLIDATED LOCATION,2,Business Technology Early College High School |  Martin Van Buren High School |  230-17 HILLSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,QUEENS   ,11427,40.733066,-73.738756,13,23,1301,4166101,4079300002,Bellerose                                                                  
2014-15,Q435,26Q435,Martin Van Buren High School,Q435,230-17 HILLSIDE AVENUE,Q,26,1742,230-17 HILLSIDE AVENUE CONSOLIDATED LOCATION,2,Business Technology Early College High School |  Martin Van Buren High School |  230-17 HILLSIDE AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,8C,1501-1750,N/A,N/A,N/A,N/A,N/A,QUEENS   ,11427,40.733066,-73.738756,13,23,1301,4166101,4079300002,Bellerose                                                                  
